TIME,year,month,T,R_Rf,R_Market,eR_Market,PriceEarningRatio,PriceEarningRatioSA,PriceDividendRatio
1960m1,1960,1,1960.082,0.0032946,-0.0688143,-0.07210888,17.11799,18.338285,31.08744
1960m2,1960,2,1960.159,0.0028958,0.0144944,0.01159864,16.45428,17.545275,29.30653
1960m3,1960,3,1960.247,0.0034939,-0.0128826,-0.01637651,16.23009,17.286021,28.36082
1960m4,1960,4,1960.329,0.0018982,-0.0153167,-0.0172149,16.65237,17.429767,28.67758
1960m5,1960,5,1960.414,0.0026964,0.0333381,0.0306417,16.71646,17.256171,28.36639
1960m6,1960,6,1960.496,0.0023971,0.022935,0.02053785,17.56442,17.823364,29.3641
1960m7,1960,7,1960.581,0.0012992,-0.0226547,-0.02395384,17.11135,17.376806,28.6359
1960m8,1960,8,1960.666,0.0016986,0.0313049,0.02960629,17.29896,17.582113,28.97949
1960m9,1960,9,1960.748,0.0015987,-0.0600685,-0.06166725,16.76147,17.052015,28.10769
1960m10,1960,10,1960.833,0.0021976,-0.004912,-0.00710963,16.43119,16.605105,27.55385
1960m11,1960,11,1960.915,0.0012992,0.0470744,0.04577525,16.9633,17.146088,28.44615
1960m12,1960,12,1961,0.0015987,0.0475513,0.04595258,17.37003,17.562091,29.1282
1961m1,1961,1,1961.082,0.0018982,0.0619414,0.0600432,18.60436,18.470417,30.67803
1961m2,1961,2,1961.159,0.001399,0.0364284,0.03502934,19.73651,19.234015,31.99148
1961m3,1961,3,1961.244,0.001998,0.0304322,0.02843421,20.75081,19.844225,33.05155
1961m4,1961,4,1961.326,0.0016986,0.0045895,0.0028909,21.443,20.382843,33.93299
1961m5,1961,5,1961.411,0.0017984,0.0254728,0.02367442,21.80328,20.598607,34.27835
1961m6,1961,6,1961.493,0.001998,-0.0292229,-0.03122086,21.65676,20.332415,33.82474
1961m7,1961,7,1961.578,0.0017984,0.0296559,0.0278575,21.54992,20.146644,33.61638
1961m8,1961,8,1961.663,0.001399,0.0267393,0.02534028,22.27494,20.941688,34.70484
1961m9,1961,9,1961.745,0.0016986,-0.0199986,-0.0216972,22.05246,20.705243,34.31633
1961m10,1961,10,1961.83,0.0018982,0.027226,0.02532779,21.95907,20.92419,34.34343
1961m11,1961,11,1961.912,0.0014989,0.0449734,0.04347449,22.61296,21.857958,35.54
1961m12,1961,12,1961.997,0.0018982,0.0001,-0.0017982,22.48903,22.04148,35.51485
1962m1,1962,1,1962.082,0.0023971,-0.0369752,-0.03937236,21.25231,21.197931,34.08054
1962m2,1962,2,1962.159,0.001998,0.0199007,0.01790266,21.2145,21.451688,34.53448
1962m3,1962,3,1962.244,0.001998,-0.0048116,-0.00680956,20.85757,21.443159,34.45588
1962m4,1962,4,1962.326,0.0021976,-0.0658193,-0.06801693,19.99512,20.658336,33.24913
1962m5,1962,5,1962.411,0.0023971,-0.0878481,-0.09024521,18.32879,19.089368,30.677
1962m6,1962,6,1962.493,0.001998,-0.0863207,-0.08831871,16.0317,16.827571,27.00485
1962m7,1962,7,1962.578,0.0026964,0.0634442,0.06074781,16.32378,17.141326,27.56608
1962m8,1962,8,1962.663,0.0022974,0.0233258,0.02102847,16.67237,17.571263,28.22513
1962m9,1962,9,1962.745,0.0020978,-0.0513986,-0.05349636,16.4306,17.321461,27.88461
1962m10,1962,10,1962.83,0.0024969,0.001998,-0.00049888,15.70455,16.739821,26.7901
